School, AthleticFacilitiesDebtServiceLeasesandRentalFee
MichiganState, 3749835
OleMiss, 2391489
Tennessee, 1438388
OhioState, 1430210
NCState, 1415459
Florida, 964584
Kentucky, 721832
Arkansas, 665998
Memphis, 628996
SanDiegoState, 550741
TexasAM, 546573
ArizonaState, 469922
FloridaState, 468838
UTEP, 442893
PennState, 438006
Connecticut, 387433
Wisconsin, 340904
VirginiaTech, 327631
UCF, 270073
TexasTech, 267283
Nebraska, 237684
California, 196000
SouthFlorida, 161000
CoastalCarolina, 133634
UtahState, 100754
SanJoseState, 91298
GeorgiaState, 90054
NewMexicoState, 80000
AirForce, 58690
UAB, 38839
LouisianaLafayette, 26439
Utah, 25001
SouthCarolina, 19116
Alabama, 16963
WestVirginia, 10575
EastCarolina, 3772
Missouri, 2580
Massachusetts, 2480
Cincinnati, 2280
NorthernIllinois, 2262
Colorado, 263
CentralMichigan, 100
UCLA, 0
Houston, 0
OregonState, 0
Clemson, 0
Nevada, 0
FresnoState, 0
Wyoming, 0
Georgia, 0
Navy, 0
Buffalo, 0
Iowa, 0
MississippiState, 0
UTSA, 0
WesternKentucky, 0
Louisville, 0
Michigan, 0
Minnesota, 0
GeorgiaSouthern, 0
Marshall, 0
MiamiOhio, 0
Kansas, 0
ColoradoState, 0
Purdue, 0
OldDominion, 0
BoiseState, 0
ArkansasState, 0
Akron, 0
Maryland, 0
UNLV, 0
LouisianaTech, 0
FIU, 0
MiddleTennessee, 0
NorthCarolina, 0
Indiana, 0
OklahomaState, 0
Ohio, 0
TexasState, 0
AppState, 0
Washington, 0
NewMexico, 0
Auburn, 0
Texas, 0
BallState, 0
FAU, 0
WashingtonState, 0
LouisianaMonroe, 0
Virginia, 0
KansasState, 0
NorthTexas, 0
Oregon, 0
BowlingGreen, 0
GeorgiaTech, 0
Rutgers, 0
Oklahoma, 0
WesternMichigan, 0
IowaState, 0
Toledo, 0
LSU, 0
Charlotte, 0
SouthernMississippi, 0
EasternMichigan, 0
Illinois, 0
Arizona, 0
KentState, 0
SouthAlabama, 0
Total, 19216872
Average, 179596
