School, Expenses
Louisville, 24344945
OhioState, 22008660
Kentucky, 18100056
MichiganState, 15692280
OleMiss, 14939323
Kansas, 13862974
Indiana, 13815495
Memphis, 11784828
Oklahoma, 11699462
VirginiaTech, 11632610
FloridaState, 11422895
Tennessee, 11276382
Texas, 11257252
NCState, 11143131
Connecticut, 11107519
Illinois, 10703916
Wisconsin, 10658002
Virginia, 10574545
WestVirginia, 10538422
TexasAM, 10400142
Alabama, 10276122
Arizona, 10265281
Michigan, 9982947
SouthCarolina, 9969480
NorthCarolina, 9800017
Auburn, 9446381
Florida, 9418167
Utah, 9417307
TexasTech, 9287482
Oregon, 9261946
Arkansas, 9195260
Rutgers, 8940158
Minnesota, 8765444
GeorgiaTech, 8679075
Washington, 8658133
LSU, 8618878
Georgia, 8539387
Iowa, 8413263
Purdue, 8410571
Missouri, 8387295
Maryland, 8375834
ArizonaState, 8097708
Nebraska, 7977928
Clemson, 7737387
KansasState, 7604573
Cincinnati, 7465323
PennState, 7180131
IowaState, 6979713
MississippiState, 6835070
California, 6640068
ColoradoState, 6334145
Colorado, 6325661
SanDiegoState, 6220405
OklahomaState, 6087462
UNLV, 6075911
UCLA, 5527114
OregonState, 5407238
Houston, 5387099
SouthFlorida, 5079617
WashingtonState, 4914256
Nevada, 4746053
NewMexico, 4430106
UTEP, 4311727
Massachusetts, 4296006
UCF, 4258737
UtahState, 3814757
MiddleTennessee, 3498941
UAB, 3413518
FresnoState, 3368620
WesternKentucky, 3361215
BoiseState, 3356591
OldDominion, 3348329
Wyoming, 3337981
NorthTexas, 3281854
EastCarolina, 3250301
Buffalo, 3213675
Ohio, 2988632
Marshall, 2987910
Akron, 2922459
Charlotte, 2869968
LouisianaLafayette, 2785270
AirForce, 2765376
Toledo, 2613384
SanJoseState, 2599952
GeorgiaState, 2569080
CoastalCarolina, 2560481
NewMexicoState, 2557207
FAU, 2415153
ArkansasState, 2375329
MiamiOhio, 2362514
LouisianaTech, 2336769
WesternMichigan, 2336727
KentState, 2333444
BowlingGreen, 2228340
UTSA, 2219047
CentralMichigan, 2193339
BallState, 2034748
SouthAlabama, 2002726
EasternMichigan, 2002247
Navy, 1934474
NorthernIllinois, 1912920
FIU, 1892028
TexasState, 1774042
GeorgiaSouthern, 1721499
AppState, 1701046
LouisianaMonroe, 1450779
Total, 711683377
Average, 6713994
