School, SportsEquipmentUniformsandSupplies
Oklahoma, 701927
Louisville, 657058
UNLV, 355878
Connecticut, 350340
Memphis, 346695
OklahomaState, 344299
Auburn, 322021
Illinois, 314551
Minnesota, 302243
Washington, 294093
Kentucky, 287243
Nevada, 280903
ArizonaState, 270240
OregonState, 270221
MississippiState, 268617
GeorgiaTech, 266624
Arkansas, 260927
Rutgers, 251025
Nebraska, 239182
Alabama, 235516
OleMiss, 225666
MichiganState, 223832
IowaState, 223153
Oregon, 222028
California, 212754
KansasState, 210755
NCState, 206119
Texas, 202577
VirginiaTech, 201098
Utah, 200442
Tennessee, 199713
Purdue, 196210
Clemson, 190659
OldDominion, 190230
LSU, 188968
FloridaState, 183375
TexasTech, 179218
Georgia, 175678
WestVirginia, 169019
Michigan, 164943
Wisconsin, 160171
Florida, 156232
SouthFlorida, 154860
UCLA, 149311
Maryland, 147131
OhioState, 145368
NorthCarolina, 143138
Arizona, 142566
SouthCarolina, 138469
ColoradoState, 135259
LouisianaTech, 130550
Houston, 129822
Iowa, 129757
TexasAM, 127758
Akron, 124455
SanDiegoState, 119734
UTEP, 119511
BowlingGreen, 116502
UCF, 115919
Indiana, 115226
FAU, 105500
SouthAlabama, 101953
KentState, 100510
Missouri, 99991
UTSA, 98870
Marshall, 94102
EasternMichigan, 93165
UAB, 93103
SanJoseState, 89828
EastCarolina, 88535
BallState, 87932
Virginia, 86019
Colorado, 85006
WashingtonState, 78939
PennState, 77241
UtahState, 75454
LouisianaLafayette, 75188
Toledo, 72931
SouthernMississippi, 69661
FresnoState, 69337
AirForce, 68503
GeorgiaState, 66795
CentralMichigan, 63986
ArkansasState, 62879
MiamiOhio, 61963
Buffalo, 60595
Kansas, 57547
Cincinnati, 54576
NorthernIllinois, 53583
NorthTexas, 52875
NewMexico, 50805
WesternMichigan, 50420
AppState, 49292
Wyoming, 48374
Ohio, 45641
CoastalCarolina, 43290
FIU, 43096
Massachusetts, 41883
MiddleTennessee, 41540
LouisianaMonroe, 40685
Charlotte, 38423
WesternKentucky, 36157
NewMexicoState, 27712
TexasState, 27683
GeorgiaSouthern, 24536
BoiseState, 21861
Total, 16265744
Average, 153450
