School, CoachingSalariesBenefitsandBonusespaidbytheUniversityandRelatedEntities
Texas, 13666391
Kansas, 10782172
Arizona, 10090569
Kentucky, 9880941
Indiana, 6011971
Tennessee, 5968020
Oregon, 5898608
Oklahoma, 5815951
Louisville, 5615122
Illinois, 5566586
UCLA, 5508869
Auburn, 5341509
Nebraska, 5218348
MichiganState, 4936700
WestVirginia, 4748675
Maryland, 4638078
Utah, 4389694
OhioState, 4350761
Houston, 4341560
TexasTech, 4291390
LSU, 4109079
Iowa, 4076938
FloridaState, 4013923
NorthCarolina, 3981903
OleMiss, 3962419
Rutgers, 3914326
Arkansas, 3887274
Missouri, 3865735
Purdue, 3859584
Michigan, 3779356
ArizonaState, 3734775
MississippiState, 3724056
Wisconsin, 3670576
SouthCarolina, 3631632
Florida, 3603686
NCState, 3486631
Minnesota, 3456994
VirginiaTech, 3315870
Clemson, 3282839
IowaState, 3280947
OregonState, 3076662
PennState, 3049926
Colorado, 3040805
GeorgiaTech, 3030305
California, 2748092
UCF, 2626637
OklahomaState, 2624733
Memphis, 2270876
UNLV, 2169529
SanDiegoState, 2150561
WashingtonState, 2092365
UtahState, 1894579
SouthFlorida, 1880565
ColoradoState, 1594588
EastCarolina, 1534875
NewMexico, 1508996
NorthTexas, 1488240
Massachusetts, 1439188
Charlotte, 1410191
FresnoState, 1385705
Wyoming, 1366210
SanJoseState, 1355038
UTEP, 1344028
MiddleTennessee, 1335874
GeorgiaState, 1315702
NewMexicoState, 1302669
Nevada, 1281970
BoiseState, 1272652
Buffalo, 1268911
OldDominion, 1229608
LouisianaLafayette, 1195942
Akron, 1172554
Toledo, 1153680
Marshall, 1073747
UTSA, 1072674
FAU, 1065718
SouthAlabama, 979546
CentralMichigan, 965545
BowlingGreen, 900037
FIU, 855885
Troy, 827957
MiamiOhio, 803735
EasternMichigan, 768409
TexasState, 754334
AppState, 744942
SouthernMississippi, 744867
BallState, 731349
CoastalCarolina, 727389
GeorgiaSouthern, 608870
LouisianaMonroe, 584102
WesternMichigan, 576368
KentState, 0
Total, 276098188
Average, 3001067
